公司名稱,職缺名稱,職缺內容,URL,Excel,Word,After Effects,Premiere,Adobe Photoshop,Final Cut ProX,Illustrator,Mac OS,MAYA,Adobe InDesign,PowerPoint,PhotoImpact,Apple,3ds Max,CorelDraw,Windows 7
商諾資訊顧問股份有限公司,影片剪輯師,"1. 非線性影片剪接、特效與美編
2. 旁白、配樂製作
3. 熟Pr、AE等剪輯軟體
4.獨立剪輯工商影片
",https://www.104.com.tw/job/4k72w,0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
啟程企業社,影片剪輯人員,"如職務名稱
就是影片剪輯
跟主管討論企劃、拍攝、剪輯

其實我就是主管，我很好溝通，也願意請聽聆聽

我們很新，謝謝你願意陪公司成長

如果你對我們公司有興趣
歡迎打給我跟我討論看看
不一定要天天進公司
你也可以自己接外面的case
跟我們平面設計人員一樣
把我交代的事情做完就好

為甚麼要徵剪輯師?
因為我懶得跟別人溝通
自己培養信任的剪輯師
這樣剪出來又快又方便
",https://www.104.com.tw/job/7cvkm,0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
塞席爾商大方諮詢服務有限公司,影片剪輯師,"1、社交媒體平台短視頻素材的拍攝與製作，包括但不限於拍攝、剪輯、字幕、特效製作、音頻處理及畫面處理與合成輸出；
2、能夠快速的理解視頻製作需求，參與團隊策劃和溝通，針對視頻特性進行剪輯包裝創意，思維活躍有腦洞；
3、對轉化、投放導向負責，不斷優化視頻質量，並梳理可複制的爆款視頻方法論；
4、負責視頻內容和欄目的創意、策劃等，撰寫拍攝內容營銷方案（包含產品亮點與賣點、視頻腳本、內容設計等",https://www.104.com.tw/job/7b3cd,0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
好旅行_愷伸國際有限公司,【電商平台】影片剪輯人員 / 剪輯師 / 剪接師,"工作內容：
1.可獨立完成 - 商品創意發想(劇本撰寫)、影片拍攝及後製剪輯(片頭動畫、字幕、特效呈現)等。
2.熟商品平面/動態拍攝尤佳
3.具美編能力佳(PS、AI等)
4.熟悉各類剪接工具 (Premiere、AE等)
5.有電子商務相關經驗者佳
6.高配合度與執行能力、善於溝通、好相處
7.不排斥露臉出鏡


【公司介紹】
好旅行於2017年創立，為台灣第一個以旅遊商品為主的原生電商平台。
我們熱愛旅行，深知旅行的核心本質，也了解旅行者的需求。

好旅行蒐集了國外許多優質商品，包含旅遊創意商品，引進海外的好商品讓台灣人認識，與海內外優質的廠商合作一起打造旅遊社群生態系。
官網-> https://www.howtravel.com.tw/
https://www.howtravelblog.com.tw/

我們是一間很新的公司，但對於人才的培訓及重視，我們比任何大公司都重視，公司團隊平均年齡不到三十，如果你期許加入我們，請仔細往下看。

【我們重視的事情】
1.在好旅行，我們接受天馬行空的點子，我們鼓勵你勇敢說出想法
2.願意接受快速行動的文化及迅速調整的行為準則
3.重視數據和實事求是的精神
4.擁抱團隊合作，不害怕說出真實想法

【應徵前的幾個提醒】
1.電商起家的我們，期待你也是善用網路工具、熟悉電商、行銷的人
2.我們公司人不多，也因此你的表現很容易被注目。
3.目前公司是開放性辦公室，若擔心工作容易被打擾請慎選。
4.我們提供最優質的產品及客戶服務也以此為工作目標。

除了制式履歷外，可以用您喜歡的方式準備履歷即可，
並且在發送給我們之前，確定這是您想讓我瞭解您的方式。

【企業使命】
讓旅行變得更舒適，輕鬆，有趣

【企業願景】
好旅行成為華人地區會員最多的旅行周邊商品專賣店

【價值觀】
1.誠信正直，我們相信善良是一種選擇，聰明是一種天賦，天賦得來很容易，而選擇則頗為不易
2.執行力先決，我們強調在快速動劇烈的市場，執行力比任何事重要
3.承諾，包含客戶承諾與工作承諾，我們強調落實文化，說出的承諾必落實
4.直接溝通，我們不害怕說出真正的想法，因為我們只對事不對人，直接溝通是最有效率的團隊文化
5.數據驅動，我們以原生的網路團隊為榮，因此我們相信所有事情都盡可能的量化後，並用數據驅動判斷",https://www.104.com.tw/job/6rqok,0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
富錦樹文創科技股份有限公司,【富錦樹集團】日文影片剪輯人員,"我們希望你/妳是熱愛生活中的大小事，心胸寬大至無所不包，如同海綿般的吸收養分、過濾雜質。
我們會感激你/妳看過好書、聽過好音樂、對遠行甘之如飴、品嚐粗茶淡飯到香檳大菜。
你/妳在生活中培養的美感、視野與體驗，會幫助你/妳在這份工作中一臂之力。
我們會需要你/妳有專心研究、耐心溝通與細心執行的能力，在快速的步調裡，跟緊公司小步快跑。

【工作內容】
1. 協助集團影音及文稿腳本撰寫，將腦海中的天馬行空實現成影像
2. 負責後製特效及剪輯
3. 對社群影音能提出自己的想法，觀察趨勢及話題
4. 履歷請附上個人近期作品

【其他條件】
1.我們希望你私底下也喜歡用影片記錄生活、分享故事
2.我們希望你平時也很喜歡關注社群，不會讓自己 out of fashion
3.我們希望你會在富錦樹找到你夢寐以求的舞台，用力地發光發熱接受掌聲
4.日文N1尤佳",https://www.104.com.tw/job/7b1yz,0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
尚蒂有限公司,影片剪輯人員,"工作內容
1. 獨立影片拍攝剪輯能力
2. 電腦排版
3.廣告Banner設計製作
須具備攝影運鏡及剪輯能力
履歷請附上作品集喔



",https://www.104.com.tw/job/7chk5,0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
心文國際有限公司,影片剪輯人員 / 剪輯師 / 剪接師,"看到商品你會有""這樣拍起來一定很有趣""的想法嗎?

心中有""大概這幾個鏡頭就可以組成一個小短片""的能力嗎?

如果你有上述的特質，這工作會超適合你

【需獨立完成項目】
1.商品創意發想與劇本撰寫
2.影片拍攝
3.後製剪輯(開頭效果、字幕、特效..等)

【加分項目】
1.可以接受露臉拍影片與直播
2.具有美編修圖(Photoshop)
3.協助粉絲團管理
4.超愛網路購物
5.執行力高、能溝通、好相處
6.協助完成交辦的事務 


※ 工作內容單純，公司環境簡單。
※ 負責任、細心具有網拍經驗與了解網路購物模式
※ 公司相當重視工作態度，愛請假、遲到、早退、吸菸喝酒吃檳榔請退散
※ 若有接洽更多職務將再依狀況調整薪資
※ 休假為週休二日，但如有需要需依公司規定調整排休制度",https://www.104.com.tw/job/7bqbo,0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
恩穗文化顧問事業有限公司,兼職 影片剪輯人員,"[ 恩穗文化顧問事業有限公司 ]

恩穗是一間英語學習系統的公司，我們獨家研發英語學習平台，在平台上能夠觀看英語學習影片及各式學習資源方便重複練習，並舉辦各式有趣英語線上線下活動讓人們能交流，我們娉請專業優秀的講師，希望透過平台及資源幫助年輕人能透過我們的資源達到他們的學習目標。

 [企業使命]

讓每個台灣人在下班後能輕鬆講流利英語



[企業願景]

以人為本，提供顧客最專業的服務，打造台灣最棒的英文學習平台



[ 工作內容 ]

恩穗希望每位員工都能對英語及教育相關有熱忱，不怕失敗，越挫越勇。近期在尋找影片剪輯師，負責英語教學影片剪輯。



這將會是一項具有挑戰性的工作，你必須：

1.有責任感，自律並具有高度執行力，善於團隊合作

2.主管交辦事項，可獨立並有效率完成

3.細心且有耐心，可在要求時間內完成任務 4.具備獨立思考及文案發想能力



本職務工作條件如下：

1.獨立剪輯英語教育影片，並以輕鬆有趣的方式呈現

2.需上中英文字幕

3.根據情況的需要，調整自己的工作方式以滿足公司及客戶需求

4.每週約1-2隻片，每隻片來回修改次數為2次



[薪資]

按件計酬



[其他福利]

*舒適的工作環境

*輕鬆的工作氛圍

*公司尾牙

*員工免費英語進修



我們在尋找志同道合的夥伴 如果有符合以上條件，並在面談中舉出實例說明 

請來信提供2部剪輯作品到nblesstw@outlook.com

並請透過104投遞履歷，如有符合將會盡快與你連繫面談",https://www.104.com.tw/job/7ctrv,0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
新創點廣告股份有限公司,影片剪接師,"工作內容：

處理YouTube網路影片、網路廣告、網紅業配等影片後製相關工作。
需熟稔使用 Adobe Premiere Pro 影片剪輯後製軟體。
具美感和畫面設計能力。
能獨立完成影音剪輯，字幕，配樂，音效與後製特效等。
熱愛影音、有梗、跟上時事、創作力佳。
主動積極、配合度高。  


個人特質：


我們期望工作夥伴具有優秀的品行，具備跨部門良好的溝通能力、喜愛團隊合作、抗壓性高、創造工作效率與效益。
自主性高，可獨立在要求時間內完成主管交辦事項或專案任務、且具有高度執行。
希望你是具備多元能力的影視工作者，除了剪接之外，如具備拍攝、腳本企劃、攝影前道具準備等能力者優先考慮。


要求條件：

大學畢業，傳播相關科系尤佳。
頭腦靈活、具節目企劃、包裝題目的概念與能力，擅長溝通協調。
具創意、企劃能力、執行力(擅發想、有天馬行空的創意、古靈精怪的點子尤佳)。
具抗壓性，有耐心處理繁雜的工作事務。
具備危機處理能力與經驗。
熟社群操作、YouTube推廣。
曾任職相關節目或YouTube創作優先錄用 。
能使用基礎After Effects等影片特效及調光調色等後製軟體尤佳。




擅長工具
Premiere、Final Cut Pro、After Effects、Adobe Photoshop、Illustrator",https://www.104.com.tw/job/7bync,0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
新擎股份有限公司,影音拍攝／後製剪輯師,"【工作內容】
1. 發想影片拍攝內容、腳本拍攝成各類型網路短片。
2. 對影像故事構圖有強烈敏銳度及邏輯性、擅長畫面設計及美感呈現者
3. 負責影音檔案整理、轉檔、剪輯，並可協助部分前製作業執行及後製特效工作。
4. 具細心與耐心、工作態度積極者佳。薪資高低取決於工作表現。

【必要條件】
1. 具備拍攝、製作、剪輯影片能力。
2. 熟悉攝錄影器材。
3. 熟悉剪輯及相關後製軟體 Pr、AE、Ps、DaVinci等。
4. 有創意，有美感，有產品剪輯經驗，動作迅速且能獨立作業 。
5. 對時下流行趨勢具有高敏銳度，熟稀美妝保養品。
6. 具細心、抗壓，且有與團隊成員溝通協調和企劃討論的能力。
7. 自我督促工作效率、且能依主管要求 獨立完成工作者。
8. 請隨履歷附上作品集或連結",https://www.104.com.tw/job/7cm1b,0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
日活影像製作有限公司,剪接師｜影片後期製作 Editor,"剪接師是影片的靈魂引渡者，賦予影像神奇魔力

因此，好的品味是非常重要的。
我們討厭陳窠，喜歡拍攝時的意外火花，
更期待遇到一個能夠跳脫分鏡之外的剪刀手，讓我們看見不同的可能性。


如果你體力過人、追求完美、走在路上喜歡打節拍，
如果你為了達到目標能夠廢寢忘食並仍甘之如飴，
如果你喜歡結合不同元素，創作出獨一無二的影像，
如果你對影像品味獨到，分鏡概念完整，又擅長使用後期軟體(Pr.Ae等)
那麼歡迎你隨時將作品集丟過來，我們期待你的加入！


1.負責影片處理、剪輯工作以及相關多媒體工作事項
影片剪輯、影音編輯、圖片編修、影片轉檔、後期套片與其他後期公司溝通等事宜
2.對影像故事邏輯有強烈敏銳度，可以適應各種類型影片的剪輯，劇情片、廣告、MV、預告、活動
3.需熟悉Adobe操作，對Premiere, After Effect 涉略廣泛
4.具影像設計能力及2D、3D動畫合成經驗尤佳
5.具三年以上工作經驗佳

",https://www.104.com.tw/job/74mz6,0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
昂洋有限公司,飪室-影片剪輯人員,"我們需要這樣的你:

1.熟知市場趨勢，並熟悉各類社群媒體(Facebook、Instagram等等)
2.思考邏輯清晰，可以利用影像說故事
3.常收看網路創意短片並對時下流行話題敏銳度高
4.會創造話題，提升網路上的曝光，吸引眼球注意
5.喜愛學習新事物，適應能力強
6.對畫面、配樂具極佳敏銳度，腦袋裡有著無限的創意
7.常關注時下議題、網路流行話題與時事，將工作融入生活
8.其他主管交辦事項

***工作內容***

1.可獨立完成影片剪輯與後期製作（影音編輯、圖片編修、攝影、片頭動畫、字
幕、特效等）
2.有影片腳本撰寫、場景規劃、攝影前道具準備能力。
3.具良好的溝通能力與學習能力、喜愛團隊合作、抗壓性高、創造工作效率與效益。
4.附有責任感，可以順利完成主管交付的工作
5.除了剪接工作，需參與現場影片拍攝

***以上請附上相關作品連結***

",https://www.104.com.tw/job/73ddr,0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
時刻旅行_勁取股份有限公司,YouTube 影片剪輯師,"【工作內容】
1）熟稔使用 Adobe Premiere Pro 影片剪輯後製軟體
2）具美感和畫面設計能力，熟稔使用After Effects等影片特效後製軟體尤佳
3）能獨立完成影音剪輯與後製特效。
4）對於作品呈現有「完美強迫症」。
5）熱愛影音、有梗、跟上時事、創作力佳。
6）主動積極、配合度高。",https://www.104.com.tw/job/6dzyu,0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
林滙國際有限公司,影片拍攝&amp;後製剪輯師,"1. 能執行影片拍攝及攝影專案工作。
2. 能獨立後製一部完整影片（剪輯、綜藝特效、字幕、音效、音樂...等）。
3. 自主性高，可獨立在要求時間內完成主管交辦事項或專案任務、且具有高度執行力。
4. 各項器材之維護、影片檔案歸檔及分類。
5. 熟悉各類剪接工具。
6. 善於溝通、好相處。
7. 額外加分：具動靜態拍攝能力，及美編能力。",https://www.104.com.tw/job/7b272,0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
梅花鹿影業股份有限公司,剪接師,"@	熟悉各類影片剪接軟體,多媒體設計類如：Premiere 

影像處理類如：Final Cut ProX 

@ 熟悉影像拍攝或本身擁有攝影器材者為佳 

@	2年以上影片剪接實務經驗 

@	配合度高、樂於學習 

@	應徵請檢附剪接代表作品",https://www.104.com.tw/job/6ijxc,0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
極限專賣_銘鋐科技股份有限公司,極限一繩-Youtube頻道影片後製剪輯師-機車3C開箱相關,"【工作內容】
1.配合影片需求後製剪輯
我們要滿滿的綜藝字＋梗圖
協助為Youtube頻道內容產出
工作內容包含剪輯後製，綜藝字、字幕及置入好笑有梗的影片
歡迎自覺有梗的你、剪輯效率高的夥伴一起加入我們

2. 攝影器材保養與整理

3. 協助攝影部門拍攝前置作業

4. 每月出片量6-8隻

＊我們需要熟悉FCPX剪輯、有梗好笑的剪輯師協助幫我們將影片變的更有趣更好笑
＊公司作業系統皆為MAC OSX，配有兩台M1及雙螢幕以供剪輯使用

請參考本公司網站：www.exshop.com.tw
Youtube Channel：https://www.youtube.com/channel/UCUu9vTNP5b-RKxwlgAK170A",https://www.104.com.tw/job/6yz6u,0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
法騰資訊系統股份有限公司,影片剪輯師,"求職者，您好！
我們是法律資料庫科技公司，獨創《Legal Works法律研究系統》收納超過1500萬筆實務法院裁判資料及近30萬筆條文。
本職務工作者，需要輔助、拍攝與剪輯法務相關議題影片，並與本公司執行長討論影片相關企畫內容（ex.解說法院判決時事、法律相關新聞議題探討....等等），以負有社會意義及創意的節目內容為主。詳情請參照以下說明：


◇ 職務內容：
◆ 錄影前置作業（影片企劃、腳本/文案撰寫並與主管討論）。
◆ 後製作業（對畫面有想法，能獨立完成影片剪輯後製，可靈活運用各種剪輯手法，熟悉操作剪輯相關軟體。例如Premiere、After Effects、Photoshop、Illustrator。
◆ 影片錄製（現場錄影及Live轉播，Youtube平台維運及經營）。

◇ 加值福利：
◆ 本公司獨家研發的產品具有領導趨勢（法律資料庫檢索及雲端管存）。
◆ 定期分享法律專業知識。
◆ 優良表現獎金發放。

◇ 附言：
◆ 我們期望工作夥伴具有優秀品行與融洽相處之能力。
◆ 辦公環境高亮整潔、氣質好、氛圍輕鬆，讓大家向上動力十足。

漫漫職涯，想遇上良師益友嗎？ 
法騰公司是您最佳的選擇！
→ 立即投遞履歷與我們連絡吧！",https://www.104.com.tw/job/71210,0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
深紅汕頭鍋物_德仁騰企業社,影片剪輯人員,"一、可獨立完成影片剪輯與後期製作（影音編輯、圖片編修、攝影、片頭動畫、字
幕、特效等）
二、於設計構圖上具備美感並有剪接活動影片之經驗者佳。
三、需有使用過兩種以上剪輯軟體之經驗
四、具影像處理、設計表現、調光能、對於影片剪輯、有良好影像故事邏輯 ，能獨立
拍攝攝影片操作能力，
五、具備跨部門良好的溝通能力、喜愛團隊合作、抗壓性高、創造工作效率與效益。
六、具電子串流影音平台、電子商務、社群經營經驗者佳",https://www.104.com.tw/job/6zien,0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
無限廣告媒體有限公司,影片剪輯師,"1.有影片腳本撰寫、場景規劃、攝影前道具準備能力(產生能表現動畫流程的分鏡腳本，並找出主要場景與角色)

2.具備影片剪輯與後製基本能力，

◆剪輯Premiere、After Effect，Final Cut Pro X(懂調光調色)

◇影像Photoshop、Illustrator(影音編輯、片頭動畫、字幕、特效等）

3.對美有獨特眼光，對景有獨道之處

4.具備跨部門良好的溝通能力、喜愛團隊合作、抗壓性高、創造工作效率與效益。



※應徵時，請附上作品鏈結！",https://www.104.com.tw/job/6zsz8,0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
玩美移動股份有限公司,影片後製剪輯師 (Video Editor),"1. Work with PM/Marcom to produce various types of video projects – from product commercials, demos, tutorials to corporate videos
2. Create storyboard, script drafting, video shooting, post editing (music, animation, voice-over, …etc.)
3. Keep up-to-date on the latest trends and technology for producing
4. Content including step-by-step tutorial videos, YouTube videos, creative videos for social media, campaign key visuals, video ads....etc.

Our promo video reference:
https://www.youtube.com/c/YouCamMakeupApp/videos

https://www.youtube.com/c/YouCamPerfectOfficial/videos
",https://www.104.com.tw/job/7bkmd,0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
禾向數位科技有限公司,影片剪輯人員,"1. 負責專案影片剪輯與後製，包含影音編輯、片頭動畫、字幕、特效等。
2. 熟悉影片剪輯相關軟體操作(例： Premiere、After Effect、Edius)
3. 能夠熟練使用平面製作軟體（軟體不限）。
4. 具有獨特眼光，包裝合成經驗。
5. 高自主性，能夠在時間內完成專案。
6. 其他主管交辦事項

>>> 應徵務必附上完整作品集以及自傳。",https://www.104.com.tw/job/7cfor,0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
艾妮亞商貿國際股份有限公司,平面動態後製剪輯師,"為北美婚紗品牌COCOMELODY後製平面及動態素材, 工作包含 
1)商品平面照精修
須熟悉Lightroom及Photoshop作業, 有人像精修經驗, 美感佳
2)商品展示動態剪輯 
須熟悉Premiere Pro剪輯, 10秒慢動作影片剪輯, 有分鏡概念, 節奏感佳
3)TikTok, YT, Pinterest, IG 社群短片剪輯 
依不同主題產出10-30秒或10分鐘影片

這是一項講求效率的工作, 希望你能:
1.	熟悉Lightroom, Photoshop, Premiere Pro, 常常在使用快捷鍵的熟練程度
2.	良好的時間安排及工作優先順序
3.	邏輯性好, 有彈性用不同的角度理解一件事情達到良好溝通
4.	目標導向, 容易適應節奏快的電商產業

",https://www.104.com.tw/job/77p87,0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
